id,data,label
2859,    @SpiritByNature @RoyalFamily @pritipatel @England Why does anyone deserve it?? If you've looked that hard you note that lots of people from different walks of life get it. Why did Mark Allen get one or Peter Boorman or Karen Dobson? Do you disagree with their honors? Normal folk just doing their job??,Neutral
2860,                                                                                                                                                                                        just letting the tl know that i am supporting england tonight and if i say something about italy i don’t mean it i promise,Neutral
2861,                                                                                                                                                                                                                                                                             In other news bears shit in the woods,Negative
2862,                                                                                                                                                                                                                                        On so many levels I can’t get behind #EURO2020 But mainly because of this.,Neutral
2863,                                                                                                                                                                                                                                        All I'm gonna say is COME ON ITALY!  #ITA  #ITAENG https://t.co/E7nZMqftzC,Positive
2864,                                                                                                                                                                                                                             I bet @Nigel_Farage thought he'd arrive to a hero's welcome!  https://t.co/vh2khlDrGc,Neutral
2865,"                                                                                                                                                                                                                                                                                       Come on, they got no chance",Negative
2866,                                                                                                                                                 Hundreds of thousands of fans go to away games every week. Just shows proper match going fans don't need to behave like this. Match Slags the lot of them #ENGITA,Negative
2867,                                                                                                                                                                            This BBC montage is beautiful. I’m so proud of the boys man. One more round!!! Come on England!!!  #England #ThreeLions #Euro2020Final,Positive
2868,                                                                                                                                                                                                                                                                                            Come on England!! #ENG,Positive
2869,                                                                                                                                                                                                                                                           @ProdigyDDK @Funkayyyy Why didn’t you bet on Italy then,Neutral
2870,"                                                                                                                                                   @StephenAppiah predicted win for Denmark 🇩🇰 and loss, Today he’s predicted win for @azzurri and going to lose again. @England Win tonight 🏴󠁧󠁢󠁥󠁮󠁧󠁿  @JoySportsGH",Neutral
2871,                                                                                                                                                               Rooting for Italy today only because I keep remembering how British people say “oregano” and “aluminum” and I get irrationally angry all over again,Negative
2872,                                                                                                                                                                                                                                                                              Shittting myself. COME ON ENGLAND!!!,Positive
2873,                                                                                                                                                                                         If England win tonight I’ll let the kids I’ve abduct go free...They’ll be coming home   #EURO2020 #eng #EuroFinal #3Lions,Neutral
2874,                                                                                                                                                                                                                                                     Has the guy who bought the cup out been hypnotised? #EURO2020,Neutral
2875,                                                                                                                                                                                   England wins ill force myself to watch one episode of the British version of the office and 10 minutes of a Ricky Gervais movie,Neutral
2876,"                                                                                                                                  Kinda ready for England to disappoint without Saka or Grealish in the field. If they are think they’ll bring the big guns in later, Italy is going to score early and sit tight.",Neutral
2877,                                                                                                                                                                                                                                                                                          Lovin the boos 😂 #ITAENG,Positive
2878,                                                                                                                                                                                                                                                    Yeah I'm shitting it now! Cmon England! #ItsComingHome 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Positive
2879,                                                                                                                                                                                                                                                                                                   COME ON ENGLAND,Positive
2880,                                                                                                                                                                                                                                                                 Come on england! 🏴󠁧󠁢󠁥󠁮󠁧󠁿 #ENG #ThreeLions #ITAENG,Positive
2881,"                                                                                                                                                                                                                                               @davidkwatt My in-laws are English and cvnts, so 100% Italy for me.",Neutral
2882,                                                                                                                                                                                                                                                                     England basically on the biggest stag do ever,Negative
2883,                                                                                                                                                                                                                                              England fans booing Italy’s national anthem. Is this even necessary?,Neutral
2884,                                                                                                                                                                                  England fans boo'ing again at the opponents national anthem.. disgusting fanbase Hopefully italy will omegatrash them 🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹,Negative
2885,                                                                                                                                                                                                                                                                              Surprised Sterling didn't dive there,Neutral
2886,                                                                                                                                                                                                                                  @TinyFootballCar has a new livery! #Euro2020Final #EURO2020 #ENG #EnglandvsItaly,Neutral
2887,                                                                                                                                                                                                                                                                                 The Englishmen at it again. 🤦🏾‍♂️,Negative
2888,Renovating our kitchen after 15 years. It’s a disaster and I’ve been trying for two days to make it serviceable for our fam of six. Acourse pushing the mess aside to make proper tea @PGtips for my boy and me. Time to drop everything for the game! Go England! #FullEnglish 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇺🇸 https://t.co/ZPZECfFggS,Neutral
2889,                                                                                                                                                                                                                                                                     We're all Italy 🇮🇹 tonight I guess. #Euro2020,Neutral
2890,                                                                                                                                                                                                                                                                         YAYYYY ENGLAND SCORED LOUIS WILL BE HAPPY,Positive
2891,                                                                                                                                                                                                                               My face when they don't accept my Scottish money in England https://t.co/zg58QlVlnh,Neutral
2892,                                                                                                                                                                                                                                                                                            STOP ROOTING FOR ITALY,Neutral
2893,                                                                                                                                             Are you fucking kidding?!?! Yes England!!!! 🏴󠁧󠁢󠁥󠁮󠁧󠁿⚽🏴󠁧󠁢󠁥󠁮󠁧󠁿⚽🤍❤️🤍❤️ #Euro2020Final #England #EnglandvsItaly #ENGITA #ENG #EURO2020 #footballscominghome #ItsComingHome,Positive
2894,                                                                                                                                                                                                                                              Jose mourinho after look shaw scored #ITAENG https://t.co/PFwsc5uaWB,Neutral
2895,                                                                                                                                                                                                                                                                            My prediction: 4-3 Italy 🇮🇹  #EURO2020,Neutral
2896,                                                                                                                                                                                                        ⚽ 2' LUKE SHAWWWWW !!!! L'ANGLETERRE DÉJÀ DEVANT ! https://t.co/TB7c5GBU4O #ITAENG https://t.co/rbSHv5Lbwl,Neutral
2897,"                                                                                                                                                                                   The description of Luke Shaw just given by the ESPN announcers is so sad, but I can't stop laughing. #EURO2020 #ENG #ThreeLions",Neutral
2898,                                                                                                                                                                                                                                                                            WHAT RHE FUCK IS ITALY DOING BAHAHAHAH,Negative
