timestamp,"tweet_text"
2021-06-13T14:35:00Z,"@CareFreeCaba He’s gonna keep grealish on the bench https://t.co/m7nwIEPe0W"
2021-06-13T14:35:04Z,"Missing the long ram."
2021-06-13T14:35:04Z,"`
            𝗛 𝗶 𝘀 𝗲 𝗻 𝘀 𝗲
     📺 📸 📺 📸 📺 📸
  #Hisense #EURO2020 
          #SpotHisense
#YourHomeYourStadium

        𝗨𝗟𝗧𝗥𝗔 𝗖𝗟𝗘𝗔𝗥

@Hisense_IND
Guys I'm The Most
Consistent Follower
Please Please Bless My
Genuine Efforts And
Enthusiasm Atleast
This Time🙏 https://t.co/Z1BYVsqRoL"
2021-06-13T14:35:17Z,"I don’t  understand why Rashord no start dey game. Rashford for start ahead of Harry Kane"
2021-06-13T14:35:56Z,"@ginGERman87 @PokemonNewsUK They have a partnership with the England team"
2021-06-13T14:35:57Z,"Is it just the angle of the shot or are those the biggest drinks in the world?"
2021-06-13T14:36:07Z,"Kane should better Carry son to whichever club he is going because the way he's playing 😂
Before he becomes Alexis that forgot Mesut
#EUROS2020
#ENG"
2021-06-13T14:36:16Z,"@daddyyylupe 1-0 .. England leading"
2021-06-13T14:36:58Z,"@DartsDifferent @tompfoster @JMikeStubbs @FA @England Purely coincidental they chose the name of a neo-Marxist political movement. What are the odds 🙄"
2021-06-13T14:37:18Z,"My mother has enquired about Eriksen's health at least thrice today. She couldn't care less about football ordinarily. Goes to show how powerful the human side of football is.

#EURO2020 #Eriksen"
2021-06-13T14:37:23Z,"Sterling and Rashford, aren’t #ENG’s best players. They are seen as the best players because of their name and how they are marketed etc etc. I’ve said it for ages."
2021-06-13T14:37:25Z,"This England team is over hyped

#ENGCRO 
#EURO2020"
2021-06-13T14:37:28Z,"Kane looks absolutely exhausted here needs to get off"
2021-06-13T14:37:33Z,"@Keir_Starmer it's good to boo england, you drip"
2021-06-13T14:37:56Z,"@qtasuna just remember ur a england fan support your players"
2021-06-13T14:37:59Z,"Kane is not where he should be"
2021-06-13T14:37:59Z,"We won't get too far playing like this, getting pushed back by Croatia"
2021-06-13T14:37:59Z,"Rashford up top?????"
2021-06-13T14:38:01Z,"Bellingham come on to replace kane"
2021-06-13T14:38:02Z,"@brukirossi Minha seleção inglesa não tem Pickford, tem James no lugar do Walker, Shaw no Trippier, Rashford no lugar do Sterling, com grande atenção ao Sancho."
2021-06-13T14:38:04Z,"So Grealish no play the game some??"
2021-06-13T14:38:05Z,"Why tf did he take off kane"
2021-06-13T14:38:09Z,"Jude Bellingham on, Jack Grealish could never 🔵⚪️🔵⚪️"
2021-06-13T14:38:09Z,"Still no grealish 🤦🏻‍♂️ this fucking guy"
2021-06-13T14:38:10Z,"Come on the boys 🙌 let's get another goal #ENGCRO #EURO2020"
2021-06-13T14:38:15Z,"Why hasn’t he brought DCL on? Kane has won fuck all and England are just losing the ball all the time"
2021-06-13T14:38:16Z,"PRICE BOOST WINNER 😍

#ENGCRO #Euro2020 #ThreeLions"
2021-06-13T14:38:17Z,"Goals at Euro 2020 So Far 

Kieffer Moore - 1 

Harry Kane - 0 https://t.co/aGjwvneXvh"
2021-06-13T14:38:17Z,"grealish needs to come on, surely"
2021-06-13T14:38:21Z,"Too many spaces in midfield right decision to bring Jude on. #ENGCRO"
2021-06-13T14:38:23Z,"@markgoldbridge Wtf Kane was playing?"
2021-06-13T14:38:28Z,"Whats the point of DCL being there then #EURO2020"
2021-06-13T14:38:33Z,"@ohmydirection28 no but like 
american football
gaelic football
or english vs croatia football"
2021-06-13T14:38:54Z,"Kane always for the fans 🤍 all the respect in the world for him"
2021-06-13T14:39:03Z,"Rice and Phillips have been outstanding today #ENGCRO"
2021-06-13T14:39:05Z,"Is it just me?
Are Croatia really, really poor?"
2021-06-13T14:39:13Z,"🥱🥱🥱🥱🥱 said Kane would blank and got laughed at"
2021-06-13T14:39:18Z,"Croatia is letting me down. Expected more of them ngl #CRO"
2021-06-13T14:39:18Z,"my brother explained what an offside is and I finally understand it oh my hod… after 10 years of living in england"
2021-06-13T14:39:18Z,"@arjunality @footandnut Me cheering for Modric https://t.co/a4hDgZJ3kK"
2021-06-13T14:39:19Z,"@BleedinScars @kingofmyhearts2 no british is anyone from the UK which is England, Wales, Scotland (+the highlands) and Northern Ireland. anyone from those four countries are british 😭"
2021-06-13T14:39:23Z,"@Kalvinphillips MOTM for me, played fantastic. #ENGCRO #LUFC #avfc #ENG"
2021-06-13T14:39:33Z,"@Football_LDN Trippier besides winning the league, was in the Spanish league Team of the Year.  Shoo-in to start for England."
2021-06-13T14:40:03Z,"England’s two best players have been Rice and Phillips. Don’t have to play for the big six to be a good player."
2021-06-13T14:40:04Z,"Why are we being so defensive? Jesus Christ Southgate. #EURO2020 #eng"
2021-06-13T14:40:06Z,"@markgoldbridge KANE WAS PLAYING???????"
2021-06-13T14:40:11Z,"@CalteckAlli On a real i doubt we'll see grealish with 7 plus added time on"
2021-06-13T14:40:16Z,"Dear England, Please… Get IN! 😎
#ThreeLions 
@England 
#Euros2021 https://t.co/nLuO5MBpkn"
2021-06-13T14:40:18Z,"Respect to Sadiq for this. 👏"
2021-06-13T14:40:19Z,"Its time the little englanders woke up and understood that england is no longer the supposed great elizabethan seafaring ( war making) country it thought it was. It is just another irritation in the matters of global politics. Shamful but true imo"
2021-06-13T14:40:21Z,"@HKane showing the type of person/leader he is by applauding @England fans as he walks back to dug out 👏⚽"
2021-06-13T14:40:25Z,"@Snappxrz_ moved to England when he was 5"
2021-06-13T14:40:28Z,"@garliclover123 I love foden, but he hasn't been as good as sterling. He struggled to get into the game.

Mate don't bother watching England for the rest of the tournament, you clearly just want to complain 👍"
2021-06-13T14:40:34Z,"Pickfords kicking is WRETCHED #ENGCRO #ENG"
2021-06-13T14:40:55Z,"Free grealish"
2021-06-13T14:41:00Z,"Bro I just need Croatia to cash this corners ticket, I don’t ask for much"
2021-06-13T14:41:00Z,"@OutragedMary If the England team had been supporting ALL LIVES MATTER Lammy would have also been disgusted as it doesn’t fit his divisive agenda… meanwhile in the real World black kids stab and shoot other black kids to silence from Lammy. Typical Labour!"
2021-06-13T14:41:04Z,"Bit of a bore fest this one... #ENGvCRO #EURO2020 😴😴😴"
2021-06-13T14:41:06Z,"England are soooooo boring"
2021-06-13T14:41:10Z,"What’s the best #EURO2020 podcast? I’m ready to consume all the content"
2021-06-13T14:41:14Z,"@maybelbc @colinelves @ReadingAccoun11 @gladragsteabags @FA @England Yes. I have. I've lived through it a lot longer than you. Do you think you are the only one? So conceited and entitled."
2021-06-13T14:41:15Z,"Modric being showed levels by Kalvin Phillips, Ballon D’or winner my arse"
2021-06-13T14:41:19Z,"A boy from ends on for England in a major tournament we love to see it"
2021-06-13T14:41:29Z,"looks good for England 👀"
2021-06-13T14:41:31Z,"Think that the top l'm wearing is older than Bellingham #ENGCRO"
2021-06-13T14:41:33Z,"I'll say this about England - &amp; I'm NOT saying it'll win Euros - but it does *feel* different these days
I can remember a lot of major tourneys in the last 15-20 years where you just knew, even with all that EPL talent, Three Lions would underwhelm
It does *feel* different now"
2021-06-13T14:41:55Z,"@theOGSeffect The faces of those in proximity, suggests he has been at it all game.😆

Why not, sun's out England are winning, the acid's kicking in. Go for it!"
2021-06-13T14:41:56Z,"@dingleberry111 @colinelves @ReadingAccoun11 @gladragsteabags @FA @England What racism have you experienced? Cos its impossible to experience racism in the UK which is a white dominated society"
