timestamp,"tweet_text"
2021-07-11T18:45:01Z,"@SpiritByNature @RoyalFamily @pritipatel @England Why does anyone deserve it?? If you've looked that hard you note that lots of people from different walks of life get it. Why did Mark Allen get one or Peter Boorman or Karen Dobson? Do you disagree with their honors? Normal folk just doing their job??"
2021-07-11T18:45:01Z,"just letting the tl know that i am supporting england tonight and if i say something about italy i don’t mean it i promise"
2021-07-11T18:45:18Z,"In other news bears shit in the woods"
2021-07-11T18:46:07Z,"On so many levels I can’t get behind #EURO2020 But mainly because of this."
2021-07-11T18:47:28Z,"All I'm gonna say is
COME ON ITALY!  #ITA
 #ITAENG https://t.co/E7nZMqftzC"
2021-07-11T18:48:10Z,"I bet @Nigel_Farage thought he'd arrive to a hero's welcome!

https://t.co/vh2khlDrGc"
2021-07-11T18:48:11Z,"Come on, they got no chance"
2021-07-11T18:48:28Z,"Hundreds of thousands of fans go to away games every week. Just shows proper match going fans don't need to behave like this. Match Slags the lot of them #ENGITA"
2021-07-11T18:48:57Z,"This BBC montage is beautiful. I’m so proud of the boys man. One more round!!! Come on England!!!

#England #ThreeLions #Euro2020Final"
2021-07-11T18:49:06Z,"Come on England!! #ENG"
2021-07-11T18:50:02Z,"@ProdigyDDK @Funkayyyy Why didn’t you bet on Italy then"
2021-07-11T18:50:22Z,"@StephenAppiah predicted win for Denmark 🇩🇰 and loss, Today he’s predicted win for @azzurri and going to lose again. @England Win tonight 🏴󠁧󠁢󠁥󠁮󠁧󠁿 
@JoySportsGH"
2021-07-11T18:50:38Z,"Rooting for Italy today only because I keep remembering how British people say “oregano” and “aluminum” and I get irrationally angry all over again"
2021-07-11T18:51:15Z,"Shittting myself. COME ON ENGLAND!!!"
2021-07-11T18:53:35Z,"If England win tonight I’ll let the kids I’ve abduct go free...They’ll be coming home 

#EURO2020 #eng #EuroFinal #3Lions"
2021-07-11T18:54:36Z,"Has the guy who bought the cup out been hypnotised? #EURO2020"
2021-07-11T18:54:38Z,"England wins ill force myself to watch one episode of the British version of the office and 10 minutes of a Ricky Gervais movie"
2021-07-11T18:56:27Z,"Kinda ready for England to disappoint without Saka or Grealish in the field. If they are think they’ll bring the big guns in later, Italy is going to score early and sit tight."
2021-07-11T18:57:02Z,"Lovin the boos 😂 #ITAENG"
2021-07-11T18:57:11Z,"Yeah I'm shitting it now! Cmon England! #ItsComingHome 🏴󠁧󠁢󠁥󠁮󠁧󠁿"
2021-07-11T18:57:40Z,"COME ON ENGLAND"
2021-07-11T18:58:00Z,"Come on england! 🏴󠁧󠁢󠁥󠁮󠁧󠁿 #ENG #ThreeLions #ITAENG"
2021-07-11T18:58:11Z,"@davidkwatt My in-laws are English and cvnts, so 100% Italy for me."
2021-07-11T18:58:13Z,"England basically on the biggest stag do ever"
2021-07-11T18:58:35Z,"England fans booing Italy’s national anthem. Is this even necessary?"
2021-07-11T19:00:02Z,"England fans boo'ing again at the opponents national anthem.. disgusting fanbase
Hopefully italy will omegatrash them 🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹"
2021-07-11T19:00:05Z,"Surprised Sterling didn't dive there"
